tIF,G_if,Tcell_if,Tamb_if,loadFactor_if,pf_if,P_load_if,Q_load_if,I_load_if,Vpv_mpp_if,Ipv_mpp_if,Vdc_cmd_if,D_mppt_if,Ppv_available_if,P_meas_if,P_pred_if,V_meas_if,V_pred_if,I_meas_if,I_pred_if,T_meas_if,T_case_if,T_junction_if,absP_if,absV_if,absI_if,absT_if,P_loss_if,capHealth_if
46,908.047942088594,34.5222290078732,28.6494062369477,0.876283102880273,0.870678355788404,7886.54792592246,4455.17089688916,12.6014486574381,765.975167281876,11.4944500061252,800,0.042531040897655,8804.46326625489,7848.95188757433,7886.54792592246,305.769704598424,305.02,12.6636633277124,12.6370270068586,38.7979330047725,38.3072242245141,44.5301188435116,37.596038348127,0.749704598424159,0.0266363208538607,0.490708780258451,243.913853379046,1
47,977.651749352079,34.7957621091023,30.3557542067,0.87524864621655,0.845806347081631,7877.23781594895,4968.54621083863,12.956696718487,765.328124730919,12.372264153205,800,0.0433398440863517,9468.84172304793,7831.53406198451,7877.23781594895,306.866440649206,305.02,13.1216270500069,12.993278058912,39.3488585350491,40.0701886777284,46.2578174772164,45.7037539644325,1.8464406492057,0.128348991094876,0.721330142679321,243.625911833473,1
48,918.316235543045,34.6422972382378,30.9252248028005,0.831306936913369,0.855010456431842,7481.76243222032,4538.09946386458,12.1737327621373,765.691145882949,11.6230868891185,800,0.0428860676463142,8899.69471882625,7459.71538658323,7481.76243222032,304.684039120465,305.02,12.1375223172782,12.2081035182097,39.6585746681323,40.6561241695893,46.7363500518709,22.0470456370922,0.335960879535207,0.0705812009314535,0.997549501457016,231.394714398568,1
49,896.8703030763,33.4102796802171,28.0856925898426,0.836915379594469,0.846459960421325,7532.23841635022,4738.03658527862,12.3796656197878,768.605483416447,11.3650639335702,800,0.0392431457294419,8735.25045872057,7471.9982736536,7532.23841635022,305.262728927212,305.02,12.375027955416,12.4146177972003,38.1427514062317,37.8451113991599,43.8569825615652,60.2401426966262,0.242728927211942,0.0395898417843004,0.297640007071813,232.955827309802,1
50,924.606802084042,34.0991364648071,27.8216769514395,0.844131427881921,0.845541523366596,7597.18285093729,4797.17347071352,12.4999684001105,766.975992692499,11.7088174656991,800,0.0412800091343763,8980.38189900981,7614.746429778,7597.18285093729,303.608978757453,305.02,12.6049504500074,12.5352602348491,37.8925105535347,37.6202318523474,43.5953668252461,17.5635788407117,1.41102124254689,0.0696902151583174,0.272278701187339,234.964418070226,1
51,916.472183638343,36.4185892752405,29.0275735085396,0.842703881941569,0.864764758967087,7584.33493747412,4404.29588239558,12.2014318069637,761.489327069419,11.5797946492904,800,0.0481383411632268,8817.89003509023,7509.56920824754,7584.33493747412,303.552138935055,305.02,12.1340712662776,12.2358807672428,38.9406510052163,38.865411031951,44.8109570782225,74.7657292265785,1.46786106494523,0.101809500965162,0.0752399732653259,234.567059921881,1
52,960.057585906336,32.2893153856857,27.6233753192273,0.917422383110447,0.859547696252186,8256.80144799402,4909.1912918203,13.3638975150776,771.257124455161,12.1787413757629,800,0.0359285944310492,9392.94105295398,8334.24810208888,8256.80144799402,306.425854320142,305.02,13.422609635642,13.4016285274665,37.0793594355204,37.5707959609725,43.6332963498179,77.4466540948506,1.40585432014183,0.0209811081755298,0.491436525452187,255.36499323693,1
53,905.673496347587,38.6744012093922,27.814065703399,0.917954566227551,0.855669794859277,8261.59109604796,4996.7366185581,13.4322501222421,756.153203939183,11.417995606808,800,0.0548084950760215,8633.7539606514,8274.66627519862,8261.59109604796,305.337398699429,305.02,13.5411318990694,13.4701741182321,38.4865955447186,37.8603117694119,44.0095662324445,13.0751791506664,0.317398699428793,0.070957780837313,0.626283775306696,255.513126681896,1
54,923.78444425563,36.1657962490827,28.1203317898303,0.899393266852726,0.85483378659396,8094.53940167453,4913.55402853276,13.1735170656136,762.087308972795,11.675062089486,800,0.0473908637840065,8897.41664986665,8065.82521817559,8094.53940167453,305.509276900595,305.02,13.1407306171568,13.2107105666148,38.0044005217567,38.239155402883,44.4175858719951,28.7141834989379,0.489276900595087,0.0699799494580216,0.234754881126314,250.346579433234,1
55,957.576006743918,36.1246585101487,29.1074652903336,0.882333770307016,0.87408924949556,7941.00393276314,4413.12443520506,12.6389474512631,762.184620294243,12.102614532898,800,0.0472692246321961,9224.42666232447,7999.67558005566,7941.00393276314,305.283679590319,305.02,12.5940127044044,12.67463167305,39.719521742641,39.2786712305781,45.4468406397682,58.6716472925182,0.26367959031893,0.080618968645652,0.440850512062873,245.598059776181,1
